order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
7164827734,62683,2023-03-16 08:27:00,2023-03-16 08:24:00,-3,2.41,On Time,Null
4028266143,2633,2023-03-16 08:48:00,2023-03-16 08:50:00,2,1.37,On Time,Traffic
4376524554,75544,2023-03-16 09:25:00,2023-03-16 09:30:00,5,1.55,On Time,Traffic
208989475,2365,2023-03-16 11:50:00,2023-03-16 11:48:00,-2,0.99,On Time,Null
757816226,62043,2023-03-16 14:24:00,2023-03-16 14:42:00,18,1.86,Significantly Delayed,Traffic
168180571,41985,2023-03-16 15:06:00,2023-03-16 15:16:00,10,3.79,Slightly Delayed,Traffic
8469170680,63716,2023-03-16 19:14:00,2023-03-16 19:18:00,4,1.51,On Time,Traffic
5627902734,78934,2023-03-16 19:25:00,2023-03-16 19:26:00,1,1.98,On Time,Traffic
9653859166,72058,2023-03-16 19:36:00,2023-03-16 19:50:00,14,0.95,Slightly Delayed,Traffic
32613017,77303,2023-03-17 00:36:00,2023-03-17 00:36:00,0,4,On Time,Null
9458183390,9443,2023-03-17 01:39:00,2023-03-17 01:37:00,-2,2.14,On Time,Null
6156638188,69037,2023-03-17 05:15:00,2023-03-17 05:22:00,7,1.47,Slightly Delayed,Traffic
4037647778,651,2023-03-17 05:49:00,2023-03-17 05:48:00,-1,1.84,On Time,Null
4845607487,84614,2023-03-17 19:02:00,2023-03-17 19:05:00,3,3.65,On Time,Traffic
6131815766,34359,2023-03-18 00:05:00,2023-03-18 00:05:00,0,1.64,On Time,Null
4551386734,92089,2023-03-18 00:46:00,2023-03-18 00:59:00,13,3.13,Slightly Delayed,Traffic
2405783093,70069,2023-03-18 08:32:00,2023-03-18 08:32:00,0,2.13,On Time,Null
278794976,56515,2023-03-18 11:46:00,2023-03-18 11:50:00,4,3.84,On Time,Traffic
6096787440,91233,2023-03-18 12:17:00,2023-03-18 12:14:00,-3,4.01,On Time,Null
3265154092,554,2023-03-18 16:49:00,2023-03-18 16:48:00,-1,1.94,On Time,Null
6087109745,77386,2023-03-18 19:21:00,2023-03-18 19:24:00,3,2.32,On Time,Traffic
1378809665,27819,2023-03-18 20:01:00,2023-03-18 20:06:00,5,1.73,On Time,Traffic
6284066457,72455,2023-03-19 04:42:00,2023-03-19 04:43:00,1,3.83,On Time,Traffic
8095547865,14451,2023-03-19 13:11:00,2023-03-19 13:07:00,-4,3.05,On Time,Null
3270559373,81866,2023-03-19 13:45:00,2023-03-19 13:51:00,6,1.43,Slightly Delayed,Traffic
785895477,94534,2023-03-19 19:10:00,2023-03-19 19:38:00,28,3.1,Significantly Delayed,Traffic
4588148640,95857,2023-03-19 19:27:00,2023-03-19 19:24:00,-3,4.87,On Time,Null
6722955128,18697,2023-03-19 22:05:00,2023-03-19 22:01:00,-4,3.37,On Time,Null
8423458672,59255,2023-03-20 00:04:00,2023-03-20 00:09:00,5,4.24,On Time,Traffic
4188317986,48031,2023-03-20 01:56:00,2023-03-20 02:06:00,10,2.74,Slightly Delayed,Traffic
8895262247,44279,2023-03-20 03:25:00,2023-03-20 03:40:00,15,4.62,Slightly Delayed,Traffic
3011683470,2265,2023-03-20 07:45:00,2023-03-20 07:50:00,5,4.3,On Time,Traffic
3678525130,82096,2023-03-20 18:33:00,2023-03-20 18:35:00,2,4.74,On Time,Traffic
3018272105,51005,2023-03-21 02:59:00,2023-03-21 02:56:00,-3,4.37,On Time,Null
6313785973,34181,2023-03-21 03:28:00,2023-03-21 03:38:00,10,1.22,Slightly Delayed,Traffic
5897343054,2375,2023-03-21 04:28:00,2023-03-21 04:50:00,22,3.75,Significantly Delayed,Traffic
5275440923,95040,2023-03-21 05:06:00,2023-03-21 05:20:00,14,4.23,Slightly Delayed,Traffic
7169557514,79516,2023-03-21 05:38:00,2023-03-21 05:50:00,12,3.28,Slightly Delayed,Traffic
8013026217,53586,2023-03-21 12:41:00,2023-03-21 12:41:00,0,2.31,On Time,Null
7919724613,4767,2023-03-21 15:44:00,2023-03-21 15:54:00,10,0.94,Slightly Delayed,Traffic
1491360686,45751,2023-03-21 16:00:00,2023-03-21 16:11:00,11,2.67,Slightly Delayed,Traffic
